Irange,NPLC,Burn-in time,Chip group name,Chip number,Information,Laser voltage,Laser wavelength,Procedure version,Sample,Step time,VG,VSD end,VSD start,VSD step,Laser toggle,has_light,source_file,start_time,time_hms,VDS,VG end,VG start,VG step,T step start time,Initial (current) T,Laser ON+OFF period,Sampling time (excluding Keithley),Target T
0.001,1.0,0.0,Alisson,71.0,test biotite,0.0,455.0,2.1.0,other,0.0,,,,,false,false,raw_data/Alisson_04_sept/IVg2025-09-04_27.csv,1757025783.7678306,18:43:03,0.1,5.0,-5.0,0.05,,,,,
0.001,1.0,0.0,Alisson,71.0,test biotite,0.0,455.0,2.1.0,other,0.0,,,,,false,false,raw_data/Alisson_04_sept/IVg2025-09-04_28.csv,1757025839.928276,18:43:59,0.1,5.0,-5.0,0.05,,,,,
0.001,1.0,0.0,Alisson,71.0,test biotite,0.0,455.0,2.1.0,other,0.0,,,,,false,false,raw_data/Alisson_04_sept/IVg2025-09-04_29.csv,1757025905.2842913,18:45:05,0.1,5.0,-5.0,0.05,,,,,
0.001,1.0,60.0,Alisson,79.0,first measurement,0.0,0.0,2.1.0,D,0.0,,,,,false,false,raw_data/Alisson_04_sept/IVg2025-09-04_3.csv,1757017030.9639273,16:17:10,0.1,5.0,-5.0,0.1,,,,,
0.001,1.0,0.0,Alisson,71.0,test biotite,0.0,455.0,2.1.0,other,0.0,,,,,false,false,raw_data/Alisson_04_sept/IVg2025-09-04_30.csv,1757025961.6322925,18:46:01,0.1,5.0,-5.0,0.05,,,,,
0.001,1.0,0.0,Alisson,71.0,test biotite,0.0,455.0,2.1.0,other,0.0,,,,,false,false,raw_data/Alisson_04_sept/IVg2025-09-04_31.csv,1757026017.7744179,18:46:57,0.1,5.0,-5.0,0.05,,,,,
0.001,1.0,0.0,Alisson,71.0,test biotite,0.0,455.0,2.1.0,other,0.0,,,,,false,false,raw_data/Alisson_04_sept/IVg2025-09-04_32.csv,1757026985.5623326,19:03:05,0.1,5.0,-5.0,0.05,,,,,
0.001,1.0,0.0,Alisson,71.0,test biotite,0.0,455.0,2.1.0,other,0.0,,,,,false,false,raw_data/Alisson_04_sept/IVg2025-09-04_33.csv,1757027199.1657188,19:06:39,0.1,5.0,-5.0,0.05,,,,,
0.001,1.0,60.0,Alisson,79.0,first measurement,0.0,0.0,2.1.0,D,0.0,,,,,false,false,raw_data/Alisson_04_sept/IVg2025-09-04_4.csv,1757017091.8928013,16:18:11,0.1,10.0,-10.0,0.1,,,,,
0.001,1.0,60.0,Alisson,79.0,first measurement,0.0,0.0,2.1.0,D,0.0,,,,,false,false,raw_data/Alisson_04_sept/IVg2025-09-04_5.csv,1757017148.2920744,16:19:08,0.1,15.0,-15.0,0.1,,,,,
0.001,1.0,60.0,Alisson,79.0,first measurement,0.0,0.0,2.1.0,D,0.0,,,,,false,false,raw_data/Alisson_04_sept/IVg2025-09-04_6.csv,1757017247.0962374,16:20:47,0.1,20.0,-20.0,0.1,,,,,
0.001,1.0,60.0,Alisson,79.0,after collimating,0.0,0.0,2.1.0,D,0.0,,,,,false,false,raw_data/Alisson_04_sept/IVg2025-09-04_7.csv,1757017751.0947533,16:29:11,0.1,20.0,-20.0,0.1,,,,,
0.001,1.0,0.0,Alisson,79.0,without light,0.0,455.0,2.1.0,D,0.0,,,,,false,false,raw_data/Alisson_04_sept/IVg2025-09-04_8.csv,1757017893.0041947,16:31:33,0.1,20.0,-20.0,0.1,,,,,
0.001,1.0,0.0,Alisson,79.0,with light,0.2,455.0,2.1.0,D,0.0,,,,,true,true,raw_data/Alisson_04_sept/IVg2025-09-04_9.csv,1757018036.509018,16:33:56,0.1,20.0,-20.0,0.1,,,,,
0.0001,1.0,,Alisson,79.0,first it alisson,0.2,455.0,2.2.0,D,,-1.0,,,,true,true,raw_data/Alisson_04_sept/It2025-09-04_1.csv,1757019355.7333555,16:55:55,0.1,,,,120.0,0.0,120.0,0.0,25.0
0.001,1.0,,Alisson,71.0,test biotite,4.0,455.0,2.2.0,other,,-2.0,,,,true,true,raw_data/Alisson_04_sept/It2025-09-04_10.csv,1757026593.8072443,18:56:33,0.1,,,,120.0,0.0,120.0,0.0,25.0
0.001,1.0,,Alisson,71.0,test biotite,4.0,455.0,2.2.0,other,,-4.0,,,,true,true,raw_data/Alisson_04_sept/It2025-09-04_11.csv,1757026780.3582883,18:59:40,0.1,,,,120.0,0.0,120.0,0.0,25.0
0.001,1.0,,Alisson,71.0,test biotite,0.2,455.0,2.2.0,other,,-1.0,,,,true,true,raw_data/Alisson_04_sept/It2025-09-04_2.csv,1757024205.5707214,18:16:45,0.1,,,,120.0,0.0,120.0,0.0,25.0
0.001,1.0,,Alisson,71.0,test biotite,0.2,455.0,2.2.0,other,,-2.0,,,,true,true,raw_data/Alisson_04_sept/It2025-09-04_3.csv,1757024631.9254837,18:23:51,0.1,,,,120.0,0.0,120.0,0.0,25.0
0.001,1.0,,Alisson,71.0,test biotite,1.0,455.0,2.2.0,other,,-2.0,,,,true,true,raw_data/Alisson_04_sept/It2025-09-04_4.csv,1757024819.2769458,18:26:59,0.1,,,,120.0,0.0,120.0,0.0,25.0
0.001,1.0,,Alisson,71.0,test biotite,2.0,455.0,2.2.0,other,,-2.0,,,,true,true,raw_data/Alisson_04_sept/It2025-09-04_5.csv,1757025006.6806135,18:30:06,0.1,,,,120.0,0.0,120.0,0.0,25.0
0.001,1.0,,Alisson,71.0,test biotite,3.0,455.0,2.2.0,other,,-2.0,,,,true,true,raw_data/Alisson_04_sept/It2025-09-04_6.csv,1757025193.2839594,18:33:13,0.1,,,,120.0,0.0,120.0,0.0,25.0
0.001,1.0,,Alisson,71.0,test biotite,4.0,455.0,2.2.0,other,,-2.0,,,,true,true,raw_data/Alisson_04_sept/It2025-09-04_7.csv,1757025380.0006182,18:36:20,0.1,,,,120.0,0.0,120.0,0.0,25.0
0.001,1.0,,Alisson,71.0,test biotite,2.0,455.0,2.2.0,other,,1.0,,,,true,true,raw_data/Alisson_04_sept/It2025-09-04_8.csv,1757026221.9717975,18:50:21,0.1,,,,120.0,0.0,120.0,0.0,25.0
0.001,1.0,,Alisson,71.0,test biotite,4.0,455.0,2.2.0,other,,1.0,,,,true,true,raw_data/Alisson_04_sept/It2025-09-04_9.csv,1757026408.0077765,18:53:28,0.1,,,,120.0,0.0,120.0,0.0,25.0
