seq,time_hms,proc,chip,summary,source_file,file_idx,start_time
33,16:55:23,IVg,75.0,IVg chip 75  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #10,Alisson_12_sept/IVg2025-09-12_10.csv,10,1757706923.9873612
34,16:56:31,It,75.0,It  chip 75  VG=3.0 V  VDS=0.1 V  VL=0.9 V  λ=455.0 nm  period=120.0 s  #16,Alisson_12_sept/It2025-09-12_16.csv,16,1757706991.7643569
35,16:59:38,It,75.0,It  chip 75  VG=3.0 V  VDS=0.1 V  VL=1.71 V  λ=455.0 nm  period=120.0 s  #17,Alisson_12_sept/It2025-09-12_17.csv,17,1757707178.8432488
36,17:02:46,It,75.0,It  chip 75  VG=3.0 V  VDS=0.1 V  VL=2.59 V  λ=455.0 nm  period=120.0 s  #18,Alisson_12_sept/It2025-09-12_18.csv,18,1757707366.517926
37,17:05:53,It,75.0,It  chip 75  VG=3.0 V  VDS=0.1 V  VL=3.47 V  λ=455.0 nm  period=120.0 s  #19,Alisson_12_sept/It2025-09-12_19.csv,19,1757707553.5115154
38,17:09:01,It,75.0,It  chip 75  VG=3.0 V  VDS=0.1 V  VL=4.42 V  λ=455.0 nm  period=120.0 s  #20,Alisson_12_sept/It2025-09-12_20.csv,20,1757707741.0330703
39,17:15:58,IVg,75.0,IVg chip 75  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #11,Alisson_12_sept/IVg2025-09-12_11.csv,11,1757708158.3225882
40,17:21:17,IVg,75.0,IVg chip 75  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #12,Alisson_12_sept/IVg2025-09-12_12.csv,12,1757708477.9818351
41,17:22:14,IVg,75.0,IVg chip 75  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #13,Alisson_12_sept/IVg2025-09-12_13.csv,13,1757708534.8767354
42,17:23:43,IVg,75.0,IVg chip 75  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #14,Alisson_12_sept/IVg2025-09-12_14.csv,14,1757708623.9732382
43,17:45:19,IVg,75.0,IVg chip 75  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #15,Alisson_12_sept/IVg2025-09-12_15.csv,15,1757709919.594004
44,17:51:22,LaserCalibration,,LaserCalibration λ=565.0 nm  #7,Alisson_12_sept/LaserCalibration2025-09-12_7.csv,7,1757710282.2410111
45,17:55:44,IVg,75.0,IVg chip 75  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #16,Alisson_12_sept/IVg2025-09-12_16.csv,16,1757710544.3641043
46,17:57:02,It,75.0,It  chip 75  VG=-3.0 V  VDS=0.1 V  VL=0.78 V  λ=565.0 nm  period=120.0 s  #21,Alisson_12_sept/It2025-09-12_21.csv,21,1757710622.8305151
47,18:00:10,It,75.0,It  chip 75  VG=-3.0 V  VDS=0.1 V  VL=1.57 V  λ=565.0 nm  period=120.0 s  #22,Alisson_12_sept/It2025-09-12_22.csv,22,1757710810.3828828
48,18:03:17,It,75.0,It  chip 75  VG=-3.0 V  VDS=0.1 V  VL=2.44 V  λ=565.0 nm  period=120.0 s  #23,Alisson_12_sept/It2025-09-12_23.csv,23,1757710997.6688619
49,18:06:24,It,75.0,It  chip 75  VG=-3.0 V  VDS=0.1 V  VL=3.38 V  λ=565.0 nm  period=120.0 s  #24,Alisson_12_sept/It2025-09-12_24.csv,24,1757711184.7291589
50,18:09:31,It,75.0,It  chip 75  VG=-3.0 V  VDS=0.1 V  VL=4.37 V  λ=565.0 nm  period=120.0 s  #25,Alisson_12_sept/It2025-09-12_25.csv,25,1757711371.8256207
51,18:19:17,IVg,75.0,IVg chip 75  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #17,Alisson_12_sept/IVg2025-09-12_17.csv,17,1757711957.181738
52,18:20:18,It,75.0,It  chip 75  VG=3.0 V  VDS=0.1 V  VL=0.78 V  λ=565.0 nm  period=120.0 s  #26,Alisson_12_sept/It2025-09-12_26.csv,26,1757712018.2059524
53,18:23:26,It,75.0,It  chip 75  VG=3.0 V  VDS=0.1 V  VL=1.57 V  λ=565.0 nm  period=120.0 s  #27,Alisson_12_sept/It2025-09-12_27.csv,27,1757712206.3294213
54,18:26:34,It,75.0,It  chip 75  VG=3.0 V  VDS=0.1 V  VL=2.44 V  λ=565.0 nm  period=120.0 s  #28,Alisson_12_sept/It2025-09-12_28.csv,28,1757712394.090555
55,18:29:41,It,75.0,It  chip 75  VG=3.0 V  VDS=0.1 V  VL=3.38 V  λ=565.0 nm  period=120.0 s  #29,Alisson_12_sept/It2025-09-12_29.csv,29,1757712581.1068664
56,18:32:48,It,75.0,It  chip 75  VG=3.0 V  VDS=0.1 V  VL=4.37 V  λ=565.0 nm  period=120.0 s  #30,Alisson_12_sept/It2025-09-12_30.csv,30,1757712768.310629
57,18:36:18,IVg,75.0,IVg chip 75  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #18,Alisson_12_sept/IVg2025-09-12_18.csv,18,1757712978.6201
58,18:37:51,IVg,75.0,IVg chip 75  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #19,Alisson_12_sept/IVg2025-09-12_19.csv,19,1757713071.4163065
59,18:38:48,IVg,75.0,IVg chip 75  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #20,Alisson_12_sept/IVg2025-09-12_20.csv,20,1757713128.468729
